Name:,Paper:,Year Published:,Categories:,COCO mAP 0.5,COCO mAP 0.5:0.95:0.05,VOC2007 mAP:,VOC2012 mAP:,KITTI mAP (E/M/H):,Cityscape 0.5 (Box/Seg):,Code Source:,Notes:
YOLO,https://arxiv.org/pdf/1506.02640.pdf,2015,"pjreddie,voc",,,63.4,57.9,,,https://github.com/pjreddie/darknet,
YOLOv2,https://arxiv.org/pdf/1612.08242.pdf,2016,"pjreddie,voc,coco",44,21.6,78.6,73.4,,,https://pjreddie.com/darknet/yolov2/,COCO result from testdev-2015
YOLOv3,https://arxiv.org/pdf/1804.02767.pdf,2018,"pjreddie,voc,coco",57.9,33,,,,,https://pjreddie.com/darknet/yolo/,
YOLOv3+ASFF,https://arxiv.org/pdf/1911.09516.pdf,2019,,59.8,40.6,,,,,https://github.com/ruinmessi/ASFF,
YOLOv3-Tiny,,,,,33.1,,,,,https://github.com/pjreddie/darknet,
YOLOv4,https://arxiv.org/pdf/2004.10934.pdf,2020,"alexey,coco",65.7,43.5,,,,,,
Scaled-YOLOv4,https://arxiv.org/pdf/2011.08036.pdf,2021,supertitle,,,,,,,,
YOLOv4-Tiny,,,"alexey,wang,coco",40.2,28.7,,,,,,
YOLOv4-CSP,,,"alexey,wang,coco",66.2,47.5,,,,,,
YOLOv4-P5,,,"alexey,wang,coco",70.3,51.8,,,,,,
YOLOv4-P6,,,"alexey,wang,coco",72.6,54.5,,,,,,
YOLOv4-P7,,,"alexey,wang,coco",73.4,55.5,,,,,,
PP-YOLO,https://arxiv.org/pdf/2007.12099.pdf,2020,"baidu,coco",65.2,45.2,,,,,,
PP-YOLOv2,https://arxiv.org/pdf/2104.10419.pdf,2021,"baidu,coco",69,50.3,,,,,,COCO result from best backbone (ResNet101-vd-dcn) @ 640x640
YOLOv5,https://github.com/ultralytics/yolov5,2021,supertitle,,,,,,,,"This network doesn't have a proper paper (yet), and there are continoual updates to model types and model mAP"
YOLOv5-N,,,coco,46,28.4,,,,,,
YOLOv5-S,,,coco,56,37.2,,,,,,
YOLOv5-M,,,coco,63.9,45.2,,,,,,
YOLOv5-L,,,coco,67.2,48.8,,,,,,
YOLOv5-X,,,coco,68.9,50.7,,,,,,
YOLOv5-N6,,,coco,50.7,34,,,,,,
YOLOv5-S6,,,coco,63,44.5,,,,,,
YOLOv5-M6,,,coco,69,51,,,,,,
YOLOv5-L6,,,coco,71.6,53.6,,,,,,
YOLOv5-X6 + TTA,,,coco,72.4,55.4,,,,,,
YOLOX,https://arxiv.org/pdf/2107.08430.pdf,2021,supertitle,,,,,,,https://github.com/Megvii-BaseDetection/YOLOX,
YOLOX-Darknet53,,,coco,67.3,47.4,,,,,,
YOLOX-M,,,coco,65.4,46.4,,,,,,
YOLOX-L,,,coco,68.5,50,,,,,,
YOLOX-X,,,coco,69.6,51.2,,,,,,
YOLOX-Tiny,,,coco,,32.8,,,,,,
YOLOX-Nano,,,coco,,25.3,,,,,,
Complex-YOLO,https://arxiv.org/pdf/1803.06199.pdf,,"kitti,radar,lidar",,,,,,,,
Poly-YOLOv3,https://arxiv.org/pdf/2005.13243.pdf,,"cityscape,segmentation",,,,,,0.344/0.240,,
YOLO Nano,https://arxiv.org/pdf/1910.01271.pdf,2019,coco,,,,,,,,
YOLOP,https://arxiv.org/pdf/2108.11250.pdf,2021,bdd100k,,,,,,,https://github.com/hustvl/YOLOP,
Gaussian-YOLOv3,https://arxiv.org/pdf/1904.04620.pdf,2019,"coco,kitti,lidar",,,,,86.79,,,
YOLObile,https://arxiv.org/pdf/2009.05697.pdf,2020,coco,49,31.6,,,,,https://github.com/nightsnack/YOLObile,
Stochastic-YOLO,https://arxiv.org/pdf/2009.02967.pdf,2020,coco,,,,,,,https://github.com/tjiagoM/stochastic-YOLO/,
CSL-YOLO,https://arxiv.org/pdf/2011.08036.pdf,2021,coco,,,,,,,,
Tiny-YOLO,https://arxiv.org/pdf/2008.02170.pdf,2020,coco,,,,,,,,
SlimYOLOv3,https://arxiv.org/ftp/arxiv/papers/1907/1907.11093.pdf,2019,visdrone-2018,,,,,,,https://github.com/PengyiZhang/SlimYOLOv3,